userID,agent_utterance,dialogue_act,190527_da,label
F01_001, これから「食べ物」について話しましょう！,op,op,0.25
F01_002, ご飯系か、お菓子やスイーツではどちらが好きですか？,qw,question_long,0.7499999999999999
F01_003, 食べるのか，見たり作ったりするののどちらが好きなんですか？,qw,question_long,1.0
F01_004, 食べるのが好きなんですね。おすすめの美味しいものはありますか？,qy,question_long,1.0
F01_005, どういったところが好きなんですか？,qw,question_long,1.0
F01_006, それは最近食べられたんですか？,qy,question_short,1.0
F01_007, いいですね，私も食べてみたいです！,pa,pa,1.0
F01_008, 今現在，「ダフィン」が流行っているようですよ．ご存知ですか？,qy,question_short,0.5
F01_009, 今現在，「ダフィン」が流行っているようですよ．ご存知ですか？,qy,question_short,0.2500000000000001
F01_010, ドーナツとマフィンのハイブリッドスイーツで，ドーナツで作られたマフィンのようですよ？,io,io,0.8333333333333333
F01_011, サクサクとした表面で，中はふんわり食感のようです．美味しそうですね！,io,io,0.6666666666666666
F01_012, ダフィンを食べたことはありますか？,qy,question_short,0.4166666666666666
F01_013, 食べてみたいですか？,qy,question_short,0.8333333333333333
F01_014, 日本に上陸したばかりみたいです。まだまだ見かけることは少ないのかもしれませんね？,io,io,0.3333333333333333
F01_015, 私も食べてみたいものです！,pa,pa,0.8333333333333333
F01_016, これから「家電」について話しましょう,op,op,0.4166666666666667
F01_017, 最近電気屋さんには行きましたか？,qy,question_long,0.8333333333333333
F01_018, 注目の家電はありますか？,qy,question_long,0.7499999999999999
F01_019, それはなんですか？,qw,question_long,1.0
F01_020, 何故注目の家電なんですか？,qw,question_long,0.8333333333333333
F01_021, 好きな家電メーカーはありますか？,qy,question_long,1.0
F01_022, なんていうメーカーなんですか？,qw,question_long,1.0
F01_023, どの家電が一番好きなんですか？,qw,question_long,0.8333333333333333
F01_024, 次に買おうと思っている家電はありますか？,qy,question_long,0.9166666666666666
F01_025, それはなんですか？,qw,question_long,1.0
F01_026, いいですね．わたしも一度使ってみたいです！,pa,pa,0.08333333333333337
F01_027, 最近では人工知能を搭載した家電が注目されているようですね．ご存知ですか？,qy,question_short,0.8333333333333333
F01_028, 掃除機をはじめ，洗濯機や電子レンジなどにも搭載されているようです？すごいですね．,io,io,0.6666666666666666
F01_029, 人工知能というとロボットをイメージするのですが，これらは全然ロボットの形をしていないんですね．意外です．,io,io,0.2500000000000001
F01_030, 人工知能を搭載した家電を持っていますか？,qy,question_short,0.3333333333333333
F01_031, 人工知能が搭載された家電を，使用したことはありますか？,qy,question_short,0.5833333333333334
F01_032, 使い心地はどうですか？,qw,question_long,0.4166666666666666
F01_033, こういった家電を使用したいと思いますか？	,qy,question_short,1.0
F01_034, いいですね，私も使ってみたいです！,pa,pa,0.16666666666666674
F01_035, これから「ゲーム」について話しましょう,op,op,0.5833333333333334
F01_036, 最近ゲームはしますか？,qy,question_short,0.0
F01_037, ゲームは良くする方なんですか？,qy,question_short,0.0
F01_038, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,qy,question_long,0.0
F01_039, そうですか，それは残念です・・,oa,oa,0.0
F01_040, 最近では，任天堂から新しく発売される「任天堂スイッチ」が注目されているそうですよ．ご存知でしたか？,qy,question_short,0.0
F01_041, 2017年3月発売予定のようですよ？,io,io,0.0
F01_042, 以前公開されたトレーラーによると，マリオカート，スプラトゥーンなどがソフトで紹介されていたようです！,io,io,0.0
F01_043, これらのゲームはやったことがありますか？,qy,question_short,0.08333333333333337
F01_044, 「任天堂スイッチ」を買おうと思いますか？,qy,question_short,0.0
F01_045, 公開されているラインナップの中で欲しいゲームはありますか？,qy,question_long,0.0
