name,lenS,label,名詞,agent_utterance,UI3average,UI3average_diff,u_utte_len_after,u_utte_len_before,num_noun_after,num_noun_before,cls
1902F2001_007,5.0,44,0, なるほど。,44,0,12.895000000000001,0.0,0,0,re_d_x
1902F2002_020,5.0,40,0, なるほど。,40,-4,12.91,32.595,0,0,re_d_x
1902F4001_029,5.0,42,0, なるほど。,42,-16,35.684999999999995,131.84,0,9,re_d_x
1902F4001_050,5.0,40,0, なるほど。,40,-4,12.695,11.225000000000001,0,0,re_d_x
1902F4002_053,5.0,36,0, なるほど。,36,-16,11.82,106.515,0,8,re_d_x
1902F4002_061,5.0,40,0, なるほど。,40,-18,8.165,88.91999999999999,0,10,re_d_x
1902F4002_067,5.0,34,0, なるほど。,34,-10,15.56,56.275000000000006,0,0,re_d_x
1902F4003_046,5.0,38,0, なるほど。,38,-6,4.165,78.815,0,8,re_d_x
1902F4003_055,5.0,40,0, なるほど。,40,-16,14.18,70.36500000000001,0,9,re_d_x
1902F4004_012,5.0,42,0, なるほど。,42,-4,15.489999999999998,66.275,0,3,re_d_x
1902F4004_030,5.0,40,0, なるほど。,40,-4,4.375,85.7,0,7,re_d_x
1902F4005_018,5.0,38,0, なるほど。,38,-12,5.445,94.155,0,7,re_d_x
1902F4005_062,5.0,40,0, なるほど。,40,-12,18.045,83.82,0,3,re_d_x
1902F4006_092,5.0,40,0, なるほど。,40,-14,8.629999999999999,39.11,0,0,re_d_x
1902F4007_031,5.0,40,0, なるほど。,40,2,20.07,126.635,0,6,re_d_x
1902F4008_052,5.0,40,0, なるほど。,40,-8,6.414999999999999,142.505,0,7,re_d_x
1902F4008_068,5.0,42,0, なるほど。,42,-14,4.0200000000000005,203.82999999999998,0,15,re_d_x
1902F4009_077,5.0,38,0, なるほど。,38,10,15.805,61.92999999999999,0,4,re_d_x
1902F4010_037,5.0,40,0, なるほど。,40,0,6.42,52.635,0,3,re_d_x
1902F4010_056,5.0,38,0, なるほど。,38,10,6.805,49.800000000000004,0,4,re_d_x
1902F4010_065,5.0,38,0, なるほど。,38,-12,10.834999999999999,28.509999999999998,0,5,re_d_x
1902F4010_079,5.0,38,0, なるほど。,38,4,3.7,69.35,0,4,re_d_x
1902F4011_050,5.0,38,0, なるほど。,38,-12,11.15,109.2,0,9,re_d_x
1902F4011_064,5.0,40,0, なるほど。,40,-4,9.235,107.12,0,12,re_d_x
1902F6001_037,5.0,40,0, なるほど。,40,-4,7.215,33.555,0,2,re_d_x
1902F6001_085,5.0,40,0, なるほど。,40,8,14.735,46.91,0,2,re_d_x
1902F6002_045,5.0,40,0, なるほど。,40,-20,6.3549999999999995,51.959999999999994,0,1,re_d_x
1902F6002_075,5.0,40,0, なるほど。,40,4,7.98,49.675000000000004,0,1,re_d_x
1902F7001_035,5.0,40,0, なるほど。,40,-12,7.445,58.54,0,3,re_d_x
1902F7002_029,5.0,40,0, なるほど。,40,-14,6.720000000000001,45.305,0,1,re_d_x
1902F7002_039,5.0,38,0, なるほど。,38,6,8.33,28.904999999999998,0,0,re_d_x
1902F7002_083,5.0,40,0, なるほど。,40,12,7.62,73.785,0,3,re_d_x
1902F7003_035,5.0,36,0, なるほど。,36,6,7.62,171.76500000000001,0,11,re_d_x
1902M2001_060,5.0,40,0, なるほど。,40,-6,6.5600000000000005,120.06,0,7,re_d_x
1902M3001_027,5.0,38,0, なるほど。,38,-6,24.59,41.81,0,8,re_d_x
1902M3001_063,5.0,40,0, なるほど。,40,-12,7.119999999999999,54.625,0,8,re_d_x
1902M4002_049,5.0,40,0, なるほど。,40,-10,10.0,50.495000000000005,0,0,re_d_x
1902M4002_055,5.0,38,0, なるほど。,38,0,15.14,36.07,0,0,re_d_x
1902M4002_085,5.0,34,0, なるほど。,34,2,13.120000000000001,46.675000000000004,0,4,re_d_x
1902M4003_019,5.0,40,0, なるほど。,40,8,6.9399999999999995,79.775,0,0,re_d_x
1902M5001_029,5.0,42,0, なるほど。,42,-10,9.185,163.72,0,15,re_d_x
1902M5001_044,5.0,40,0, なるほど。,40,8,10.355,25.565,0,3,re_d_x
1902M5002_047,5.0,42,0, なるほど。,42,0,47.405,80.535,0,0,re_d_x
1902M5003_046,5.0,40,0, なるほど。,40,-16,17.735,132.57,0,7,re_d_x
1902M5003_071,5.0,42,0, なるほど。,42,-10,11.445,53.705,0,4,re_d_x
1902M7001_052,5.0,38,0, なるほど。,38,-2,9.925,126.94000000000001,0,1,re_d_x
1902M7002_048,5.0,40,0, なるほど。,40,-8,8.79,30.299999999999997,0,0,re_d_x
1902F2001_008,8.0,48,0, 本当ですか！,48,4,20.964999999999996,12.895000000000001,0,0,re_d_x
1902F2001_008,8.0,48,0, 本当ですか！,48,4,20.964999999999996,12.895000000000001,0,0,re_d_x
1902F4001_049,8.0,44,0, 本当ですか！,44,-16,11.225000000000001,157.645,0,14,re_d_x
1902F4001_049,8.0,44,0, 本当ですか！,44,-16,11.225000000000001,157.645,0,14,re_d_x
1902F4001_065,8.0,44,0, 本当ですか！,44,-18,43.135000000000005,142.17499999999998,0,7,re_d_x
1902F4001_065,8.0,44,0, 本当ですか！,44,-18,43.135000000000005,142.17499999999998,0,7,re_d_x
1902F4002_048,8.0,36,0, 本当ですか！,36,0,14.98,247.54000000000002,0,16,re_d_x
1902F4002_048,8.0,36,0, 本当ですか！,36,0,14.98,247.54000000000002,0,16,re_d_x
1902F4004_058,8.0,30,0, 本当ですか！,30,-18,24.849999999999998,105.39999999999999,0,7,re_d_x
1902F4004_058,8.0,30,0, 本当ですか！,30,-18,24.849999999999998,105.39999999999999,0,7,re_d_x
1902F4005_019,8.0,30,0, 本当ですか！,30,-8,38.945,5.445,0,0,re_d_x
1902F4005_019,8.0,30,0, 本当ですか！,30,-8,38.945,5.445,0,0,re_d_x
1902F4006_082,8.0,38,3, 本当ですか！,38,-6,49.589999999999996,30.270000000000003,3,0,re_d_x
1902F4006_082,8.0,38,3, 本当ですか！,38,-6,49.589999999999996,30.270000000000003,3,0,re_d_x
1902F4008_030,8.0,36,0, 本当ですか！,36,-8,29.125,19.310000000000002,0,0,re_d_x
1902F4008_030,8.0,36,0, 本当ですか！,36,-8,29.125,19.310000000000002,0,0,re_d_x
1902F7002_037,8.0,38,0, 本当ですか！,38,-10,23.83,48.144999999999996,0,3,re_d_x
1902F7002_037,8.0,38,0, 本当ですか！,38,-10,23.83,48.144999999999996,0,3,re_d_x
1902F7003_030,8.0,36,0, 本当ですか！,36,-22,32.095,190.025,0,17,re_d_x
1902F7003_030,8.0,36,0, 本当ですか！,36,-22,32.095,190.025,0,17,re_d_x
1902M2001_017,8.0,54,0, 本当ですか！,54,6,18.189999999999998,64.185,0,6,re_d_x
1902M2001_017,8.0,54,0, 本当ですか！,54,6,18.189999999999998,64.185,0,6,re_d_x
1902M2001_070,8.0,48,1, 本当ですか！,48,-4,27.759999999999998,70.58500000000001,1,5,re_d_x
1902M2001_070,8.0,48,1, 本当ですか！,48,-4,27.759999999999998,70.58500000000001,1,5,re_d_x
1902M4001_060,8.0,46,0, 本当ですか！,46,-16,5.745,127.875,0,25,re_d_x
1902M4001_060,8.0,46,0, 本当ですか！,46,-16,5.745,127.875,0,25,re_d_x
1902M4002_083,8.0,50,0, 本当ですか！,50,-14,22.795,97.155,0,7,re_d_x
1902M4002_083,8.0,50,0, 本当ですか！,50,-14,22.795,97.155,0,7,re_d_x
1902M4003_071,8.0,34,0, 本当ですか！,34,8,29.905,20.29,0,0,re_d_x
1902M4003_071,8.0,34,0, 本当ですか！,34,8,29.905,20.29,0,0,re_d_x
1902M5003_044,8.0,42,0, 本当ですか！,42,-12,26.825000000000003,103.605,0,9,re_d_x
1902M5003_044,8.0,42,0, 本当ですか！,42,-12,26.825000000000003,103.605,0,9,re_d_x
1902M7001_025,8.0,30,0, 本当ですか！,30,4,36.46,32.595,0,0,re_d_x
1902M7001_025,8.0,30,0, 本当ですか！,30,4,36.46,32.595,0,0,re_d_x
1902M7002_050,8.0,44,0, 本当ですか！,44,-6,24.265,46.49,0,3,re_d_x
1902M7002_050,8.0,44,0, 本当ですか！,44,-6,24.265,46.49,0,3,re_d_x
1902M7002_079,8.0,40,0, 本当ですか！,40,-2,42.08,25.049999999999997,0,0,re_d_x
1902M7002_079,8.0,40,0, 本当ですか！,40,-2,42.08,25.049999999999997,0,0,re_d_x
1902F2001_011,23.0,50,1, 甘いものと、からいものどちらがお好きですか？,50,2,19.055,20.964999999999996,1,0,qs_s_x
1902F2002_008,23.0,50,2, 甘いものと、からいものどちらがお好きですか？,50,0,22.94,0.0,2,0,qs_s_x
1902F3001_008,23.0,54,3, 甘いものと、からいものどちらがお好きですか？,54,0,32.585,0.0,3,0,qs_s_x
1902F3002_008,23.0,52,4, 甘いものと、からいものどちらがお好きですか？,52,0,35.724999999999994,0.0,4,0,qs_s_x
1902F4001_010,23.0,52,4, 甘いものと、からいものどちらがお好きですか？,52,0,50.98,0.0,4,0,qs_s_x
1902F4002_010,23.0,50,0, 甘いものと、からいものどちらがお好きですか？,50,0,20.735,0.0,0,0,qs_s_x
1902F4003_009,23.0,48,2, 甘いものと、からいものどちらがお好きですか？,48,0,23.11,0.0,2,0,qs_s_x
1902F4004_008,23.0,56,2, 甘いものと、からいものどちらがお好きですか？,56,0,20.32,0.0,2,0,qs_s_x
1902F4005_010,23.0,50,2, 甘いものと、からいものどちらがお好きですか？,50,10,23.705,14.085,2,0,qs_s_x
1902F4006_010,23.0,52,2, 甘いものと、からいものどちらがお好きですか？,52,12,20.085,12.375,2,0,qs_s_x
1902F4007_010,23.0,48,6, 甘いものと、からいものどちらがお好きですか？,48,6,48.575,6.21,6,0,qs_s_x
1902F4008_010,23.0,44,4, 甘いものと、からいものどちらがお好きですか？,44,6,56.415,12.684999999999999,4,0,qs_s_x
1902F4009_010,23.0,50,2, 甘いものと、からいものどちらがお好きですか？,50,10,21.225,6.16,2,0,qs_s_x
1902F4010_009,23.0,52,3, 甘いものと、からいものどちらがお好きですか？,52,0,29.18,0.0,3,0,qs_s_x
1902F4011_008,23.0,54,2, 甘いものと、からいものどちらがお好きですか？,54,0,29.759999999999998,0.0,2,0,qs_s_x
1902F6001_010,23.0,54,0, 甘いものと、からいものどちらがお好きですか？,54,14,46.364999999999995,11.924999999999999,0,0,qs_s_x
1902F6002_008,23.0,56,2, 甘いものと、からいものどちらがお好きですか？,56,0,33.824999999999996,0.0,2,0,qs_s_x
1902F7001_009,23.0,50,2, 甘いものと、からいものどちらがお好きですか？,50,0,26.13,0.0,2,0,qs_s_x
1902F7002_008,23.0,50,1, 甘いものと、からいものどちらがお好きですか？,50,0,34.215,0.0,1,0,qs_s_x
1902F7003_009,23.0,54,1, 甘いものと、からいものどちらがお好きですか？,54,0,22.480000000000004,0.0,1,0,qs_s_x
1902M2001_009,23.0,50,2, 甘いものと、からいものどちらがお好きですか？,50,0,40.67,0.0,2,0,qs_s_x
1902M3001_010,23.0,50,3, 甘いものと、からいものどちらがお好きですか？,50,8,33.4,10.095,3,0,qs_s_x
1902M4001_011,23.0,54,3, 甘いものと、からいものどちらがお好きですか？,54,0,22.875,0.0,3,0,qs_s_x
1902M4002_010,23.0,50,2, 甘いものと、からいものどちらがお好きですか？,50,14,41.95,15.2,2,0,qs_s_x
1902M4003_009,23.0,50,3, 甘いものと、からいものどちらがお好きですか？,50,0,35.54,0.0,3,0,qs_s_x
1902M5001_009,23.0,48,2, 甘いものと、からいものどちらがお好きですか？,48,0,25.830000000000002,0.0,2,0,qs_s_x
1902M5002_009,23.0,52,0, 甘いものと、からいものどちらがお好きですか？,52,0,33.4,0.0,0,0,qs_s_x
1902M5003_008,23.0,48,3, 甘いものと、からいものどちらがお好きですか？,48,0,41.535000000000004,0.0,3,0,qs_s_x
1902M7001_010,23.0,48,2, 甘いものと、からいものどちらがお好きですか？,48,10,35.25,16.095,2,0,qs_s_x
1902M7002_008,23.0,50,2, 甘いものと、からいものどちらがお好きですか？,50,0,32.715,0.0,2,0,qs_s_x
1902F2001_012,44.0,56,1, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,56,6,27.475,19.055,1,1,qs_s_x
1902F2002_009,44.0,48,2, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,48,-2,31.125,22.94,2,2,qs_s_x
1902F3001_009,44.0,56,6, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,56,2,45.575,32.585,6,3,qs_s_x
1902F3002_009,44.0,62,0, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,62,10,26.855000000000004,35.724999999999994,0,4,qs_s_x
